Team_1,T1_score,T1_wickets,T1_overs,T1_rpo,T1_result,Team_2,T2_score,T2_wickets,T2_overs,T2_rpo,T2_result
Australia,231,10,48.3,4.76,1,South Africa,224,9,50,4.48,0
New Zealand,209,9,50,4.18,0,Pakistan,212,4,40.3,5.23,1
South Africa,320,5,50,6.4,1,Australia,280,9,50,5.6,0
West Indies,195,9,50,3.9,0,Bangladesh,196,5,35.1,5.57,1
Bangladesh,255,7,50,5.1,0,West Indies,256,6,49.4,5.15,1
West Indies,198,9,50,3.96,0,Bangladesh,202,2,38.3,5.24,1
New Zealand,371,7,50,7.42,1,Sri Lanka,326,10,49,6.65,0
New Zealand,319,7,50,6.38,1,Sri Lanka,298,10,46.2,6.43,0
New Zealand,364,4,50,7.28,1,Sri Lanka,249,10,41.4,5.97,0
Australia,288,5,50,5.76,1,India,254,9,50,5.08,0
Australia,298,9,50,5.96,0,India,299,4,49.2,6.06,1
Australia,230,10,48.4,4.72,0,India,234,3,49.2,4.74,1
South Africa,266,2,50,5.32,0,Pakistan,267,5,49.1,5.43,1
Pakistan,203,10,45.5,4.42,0,South Africa,207,5,42,4.92,1
New Zealand,157,10,38,4.13,0,India,156,2,34.5,4.47,1
Pakistan,317,6,50,6.34,0,South Africa,187,2,33,5.66,1
India,324,4,50,6.48,1,New Zealand,234,10,40.2,5.8,0
South Africa,164,10,41,4,0,Pakistan,168,2,31.3,5.33,1
New Zealand,243,10,49,4.95,0,India,245,3,43,5.69,1
Pakistan,240,8,50,4.8,0,South Africa,241,3,40,6.02,1
India,92,10,30.5,2.98,0,New Zealand,93,2,14.4,6.34,1
India,252,10,49.5,5.05,1,New Zealand,217,10,44.1,4.91,0
Bangladesh,232,10,48.5,4.75,0,New Zealand,233,2,44.3,5.23,1
Bangladesh,226,10,49.4,4.55,0,New Zealand,229,2,36.1,6.33,1
New Zealand,330,6,50,6.6,1,Bangladesh,242,10,47.2,5.11,0
West Indies,360,8,50,7.2,0,England,364,4,48.4,7.47,1
West Indies,289,6,50,5.78,1,England,263,10,47.4,5.51,0
England,418,6,50,8.36,1,West Indies,389,10,48,8.1,0
Australia,236,7,50,4.72,0,India,240,4,48.2,4.96,1
England,113,10,28.1,4.01,0,West Indies,115,3,12.1,9.45,1
Sri Lanka,231,10,47,4.91,0,South Africa,232,2,38.5,5.97,1
India,250,10,48.2,5.17,1,Australia,242,10,49.3,4.88,0
South Africa,251,10,45.1,5.55,1,Sri Lanka,138,10,32.2,4.26,0
Australia,313,5,50,6.26,1,India,281,10,48.2,5.81,0
India,358,9,50,7.16,0,Australia,359,6,47.5,7.5,1
South Africa,331,5,50,6.62,1,Sri Lanka,121,5,24,5.04,0
Australia,272,9,50,5.44,1,India,237,10,50,4.74,0
Sri Lanka,189,10,39.2,4.8,0,South Africa,190,4,32.5,5.78,1
Sri Lanka,225,10,49.3,4.54,0,South Africa,135,2,28,4.82,1
Pakistan,280,5,50,5.6,0,Australia,281,2,49,5.73,1
Pakistan,284,7,50,5.68,0,Australia,285,2,47.5,5.95,1
Australia,266,6,50,5.32,1,Pakistan,186,10,44.4,4.16,0
Australia,277,7,50,5.54,1,Pakistan,271,8,50,5.42,0
Australia,327,7,50,6.54,1,Pakistan,307,7,50,6.14,0
West Indies,261,9,50,5.22,0,Bangladesh,264,2,45,5.86,1
England,373,3,50,7.46,1,Pakistan,361,7,50,7.22,0
West Indies,247,9,50,4.94,0,Bangladesh,248,5,47.2,5.23,1
Pakistan,358,9,50,7.16,0,England,359,4,44.5,8,1
West Indies,152,1,24,6.33,0,Bangladesh,213,5,22.5,9.32,1
Pakistan,340,7,50,6.8,0,England,341,7,49.3,6.88,1
England,351,9,50,7.02,1,Pakistan,297,10,46.5,6.34,0
England,311,8,50,6.22,1,South Africa,207,10,39.5,5.19,0
Pakistan,105,10,21.4,4.84,0,West Indies,108,3,13.4,7.9,1
Sri Lanka,136,10,29.2,4.63,0,New Zealand,137,0,16.1,8.47,1
Afghanistan,207,10,38.2,5.4,0,Australia,209,3,34.5,6,1
Bangladesh,330,6,50,6.6,1,South Africa,309,8,50,6.18,0
Pakistan,348,8,50,6.96,1,England,334,9,50,6.68,0
